counterparty_name,notes
ZZ-TESTCASE ALPHA SANCTIONS-FIXTURE,Synthetic screening positive; not a person
ZZ-TESTCASE BRAVO SANCTIONS-FIXTURE,Synthetic screening positive; not a person
ZZ-TESTCASE CHARLIE SANCTIONS-FIXTURE,Synthetic screening positive; not a person
ZZ-TESTCASE DELTA SANCTIONS-FIXTURE,Synthetic screening positive; not a person
ZZ-TESTCASE ECHO SANCTIONS-FIXTURE,Synthetic screening positive; not a person
ZZ-TESTCASE FOXTROT SANCTIONS-FIXTURE,Synthetic screening positive; not a person
ZZ-TESTCASE GOLF SANCTIONS-FIXTURE,Synthetic screening positive; not a person
ZZ-TESTCASE HOTEL SANCTIONS-FIXTURE,Synthetic screening positive; not a person
ZZ-TESTENTITY INDIA HOLDINGS SANCTIONS-FIXTURE,Synthetic screening positive; not an organisation
ZZ-TESTENTITY JULIETT TRADING SANCTIONS-FIXTURE,Synthetic screening positive; not an organisation
ZZ-TESTENTITY KILO SHIPPING SANCTIONS-FIXTURE,Synthetic screening positive; not an organisation
ZZ-TESTENTITY LIMA MINERALS SANCTIONS-FIXTURE,Synthetic screening positive; not an organisation
